Jour,Date,Pain au chocolat,Croissant,Pains suisses,Sandwiches poulet crudités,Sandwiches thon cruditès,Sandwiches végétarien,Sandwiches poulet,Sandwiches chèvre miel crudités,Sandwiches poulet curry,Sandwiches saumon,Panini 4 fromages,"Panini poulet Kebab (ketchup,mayo)",Salade Thon,Salade Poulet
Lundi ,06/02/2023,20,10,15,5,0,3,10,7,10,7,8,8,0,0
Mardi,07/02/2023,20,10,15,10,5,3,10,7,0,10,8,8,0,0
Mercredi,08/02/2023,20,10,15,10,10,3,5,0,10,5,8,8,0,0
Jeudi,09/02/2023,20,10,15,7,8,3,7,7,0,0,3,3,0,0
Vendredi,10/02/2023,20,10,15,0,5,3,15,5,10,10,5,5,0,0
Lundi ,13/02/2023,20,10,15,5,0,3,10,7,10,7,8,8,0,0
Mardi,14/02/2023,20,10,15,10,5,3,10,7,0,10,8,8,0,0
Mercredi,15/02/2023,0,0,0,10,10,3,5,0,10,5,8,8,0,0
Jeudi,16/02/2023,0,0,0,7,8,3,7,7,0,0,3,3,0,0
Vendredi,17/02/2023,0,0,0,0,5,3,15,5,10,10,5,5,0,0
Lundi ,06/03/2023,20,10,15,5,0,3,10,7,10,7,8,8,0,0
Mardi,07/03/2023,20,10,15,10,5,3,10,7,0,10,8,8,0,0
Mercredi,08/03/2023,20,10,15,10,10,3,5,7,10,5,8,8,0,0
Jeudi,09/03/2023,20,10,15,10,5,3,10,7,0,10,8,8,0,0
Vendredi,10/03/2023,20,10,15,0,5,3,15,5,10,10,8,8,0,0
Lundi ,13/03/2023,30,10,20,5,0,3,10,7,10,7,8,8,0,0
Mardi,14/03/2023,30,10,20,10,5,3,10,7,0,10,8,8,0,0
Mercredi,15/03/2023,30,10,20,10,10,3,5,7,10,5,8,8,0,0
Jeudi,16/03/2023,20,10,15,7,8,3,7,7,0,0,5,5,0,0
Vendredi,17/03/2023,25,10,20,0,5,3,15,5,10,10,8,8,0,0
Lundi ,20/03/2023,30,10,20,5,0,3,10,7,10,10,8,8,0,0
Mardi,21/03/2023,30,10,25,10,5,3,10,7,0,10,8,8,0,0
Mercredi,22/03/2023,30,10,25,10,10,3,5,7,10,5,8,8,0,0
Jeudi,23/03/2023,20,10,15,5,5,3,7,7,0,0,5,5,0,0
Vendredi,24/03/2023,25,10,25,0,5,3,15,5,10,10,8,8,0,0
Lundi ,27/03/2023,30,10,25,5,0,3,10,7,10,10,8,8,0,0
Mardi,28/03/2023,30,10,25,10,5,3,10,7,0,10,8,8,0,0
Mercredi,29/03/2023,30,10,25,5,10,3,5,7,10,5,8,8,0,0
Jeudi,30/03/2023,20,10,15,5,5,3,7,7,0,0,5,5,0,0
Vendredi,31/03/2023,30,10,25,0,5,3,15,0,10,10,8,8,0,0
Lundi ,03/04/2023,30,10,25,5,0,3,10,7,10,10,8,8,0,0
Mardi,04/04/2023,30,10,25,10,5,3,10,7,0,10,8,8,0,0
Mercredi,05/04/2023,30,10,25,5,10,3,5,7,10,5,8,8,0,0
Jeudi,06/04/2023,25,10,20,5,5,3,7,7,0,0,5,5,0,0
Vendredi,07/04/2023,30,10,25,0,5,3,15,0,10,10,8,8,0,0
Lundi ,10/04/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mardi,11/04/2023,30,10,25,10,5,3,10,7,0,10,8,8,0,0
Mercredi,12/04/2023,30,10,25,5,10,3,5,7,10,5,8,8,0,0
Jeudi,13/04/2023,25,10,20,10,10,3,15,7,0,0,8,8,0,0
Vendredi,14/04/2023,30,10,25,0,8,3,15,0,10,10,8,8,0,0
Lundi ,04/09/2023,0,0,0,5,5,2,0,0,0,4,0,0,0,0
Mardi,05/09/2023,20,20,20,5,5,2,0,0,4,0,0,0,0,0
Mercredi,06/09/2023,0,0,0,4,0,2,8,0,0,5,7,7,0,0
Jeudi,07/09/2023,20,20,20,0,0,1,5,0,0,5,0,0,0,0
Vendredi,08/09/2023,20,20,20,0,4,1,0,3,4,0,0,0,0,0
Lundi ,11/09/2023,20,15,15,6,6,2,12,8,0,8,5,5,8,8
Mardi,12/09/2023,20,15,15,5,8,2,0,8,12,5,5,5,8,8
Mercredi,13/09/2023,20,15,15,0,5,1,5,4,5,8,5,5,6,6
Jeudi,14/09/2023,20,15,15,5,0,1,4,3,10,0,5,5,6,6
Vendredi,15/09/2023,20,15,15,4,0,1,10,6,0,0,6,6,6,6
Lundi ,18/09/2023,20,15,15,0,6,2,12,8,0,0,5,5,8,8
Mardi,19/09/2023,20,15,15,5,6,2,0,6,8,5,6,6,8,8
Mercredi,20/09/2023,20,15,15,0,5,1,10,4,10,0,5,5,8,8
Jeudi,21/09/2023,20,15,15,5,0,1,4,3,10,0,5,5,6,6
Vendredi,22/09/2023,20,15,15,0,5,1,10,6,10,0,8,8,8,8
Lundi ,25/09/2023,30,10,15,10,6,2,12,8,15,0,8,8,8,8
Mardi,26/09/2023,30,10,15,10,6,2,15,6,12,5,9,9,8,8
Mercredi,27/09/2023,30,10,15,10,5,1,12,6,15,0,8,8,8,8
Jeudi,28/09/2023,30,10,15,5,4,1,8,3,10,6,5,5,6,6
Vendredi,29/09/2023,30,10,15,10,7,2,18,6,15,0,10,10,8,8
Lundi ,02/10/2023,35,15,20,10,10,2,15,8,15,0,8,10,8,8
Mardi,03/10/2023,35,15,20,10,10,2,15,8,15,5,9,9,8,8
Mercredi,04/10/2023,35,15,20,10,8,1,12,8,15,0,8,10,8,8
Jeudi,05/10/2023,35,15,20,0,4,1,10,3,15,6,6,6,8,8
Vendredi,06/10/2023,35,15,20,10,10,2,18,6,15,0,10,10,8,8
Lundi ,09/10/2023,40,25,25,10,10,2,15,8,15,0,8,10,4,4
Mardi,10/10/2023,40,25,25,10,10,2,15,8,15,5,9,9,4,4
Mercredi,11/10/2023,40,25,25,10,8,1,12,8,15,0,8,10,4,4
Jeudi,12/10/2023,40,25,25,5,4,1,10,3,15,6,6,6,4,4
Vendredi,13/10/2023,40,25,25,10,10,2,18,6,15,0,10,10,4,4
